season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_NYJ_DET,2026-09-27,00-0035544,Tom Kennedy,WR,DET,NYJ,1,6.5,47.5,27.0,4.0,False,0.0,0.0033333333333333335,0.0,,,40,2,0.77,-0.21,1.93,0.77,,upcoming,,half_ppr,depth_rank_filled=4 (-1.1); fp_roll=0 (-0.4); snap_pct_last=0 (-0.4)
2026,3,2026_03_LAC_BUF,2026-09-27,00-0041550,Brenen Thompson,WR,LAC,BUF,0,7.0,50.5,21.75,4.0,False,0.18,0.18,0.18,Did Not Participate In Practice,Quadricep,2,2,0.76,-0.22,1.92,0.76,,upcoming,,half_ppr,injury_severity=3 (-0.9); snap_pct_last=0.18 (-0.4); depth_rank_filled=4 (-0.4)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0039648,David Martin-Robinson,TE,TEN,NYG,0,2.5,38.5,18.0,3.0,False,0.13,0.18000000000000002,0.065,,,36,2,0.76,-0.22,1.92,0.76,,upcoming,,half_ppr,fp_roll=0.633 (-0.4); fp_season_avg=0 (-0.3); snap_pct_last=0.13 (-0.2)
2026,3,2026_03_ATL_GB,2026-09-24,00-0040598,Mark Redman,TE,GB,ATL,1,4.5,43.5,24.0,4.0,False,0.34,0.325,0.325,,,2,2,0.75,-0.23,1.91,0.75,,played,0.0,half_ppr,fp_roll=0 (-0.8); fp_season_avg=0 (-0.6); injury_analog_delta=-1.78 (-0.2)
2026,3,2026_03_KC_MIA,2026-09-27,00-0036945,Justin Fields,QB,KC,MIA,0,-10.5,45.5,28.0,2.0,True,0.01,0.6699999999999999,0.01,,,84,2,0.75,-0.22,1.92,0.75,,upcoming,,half_ppr,fp_roll=0 (-0.8); position_code=0 (-0.4); fp_season_avg=0 (-0.3)
2026,3,2026_03_LV_NO,2026-09-27,00-0039407,Dylan Laube,RB,LV,NO,0,3.0,43.5,20.25,3.0,False,0.13,0.09333333333333334,0.14,,,36,2,0.74,-0.24,1.9,0.74,,upcoming,,half_ppr,fp_roll=0 (-0.6); fp_season_avg=0 (-0.4); depth_rank_filled=3 (-0.3)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0040058,Nick Kallerup,TE,SEA,WAS,0,-7.5,40.5,24.0,4.0,False,0.27,0.13,0.27,,,19,2,0.74,-0.24,1.9,0.74,,upcoming,,half_ppr,fp_roll=0 (-0.7); fp_season_avg=0 (-0.6); injury_analog_delta=-1.78 (-0.2)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0038400,Tanner McKee,QB,PHI,CHI,0,-4.5,41.5,23.0,3.0,True,1.0,0.4366666666666667,0.0,,,53,2,0.73,-0.25,1.89,0.73,,upcoming,,half_ppr,depth_rank_filled=3 (-1.1); fp_season_avg=0 (-1.0); snap_pct_season=0 (-0.8)
2026,3,2026_03_HOU_IND,2026-09-27,00-0039359,Cade Stover,TE,HOU,IND,0,-1.5,42.5,22.0,4.0,False,0.1,0.2966666666666667,0.2,,,28,2,0.73,-0.24,1.9,0.73,,upcoming,,half_ppr,fp_roll=0.567 (-0.5); snap_pct_last=0.1 (-0.3); fp_season_avg=0.15 (-0.3)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0031484,Chris Manhertz,TE,NYG,TEN,1,2.5,38.5,20.5,,False,0.31,0.3233333333333333,0.32999999999999996,,,166,2,0.72,-0.26,1.88,0.72,,upcoming,,half_ppr,fp_roll=0 (-0.7); fp_season_avg=0 (-0.6); depth_rank_filled=9 (-0.1)
2026,3,2026_03_NE_JAX,2026-09-27,00-0041106,C.J. Williams,WR,JAX,NE,1,3.0,46.5,24.75,6.0,False,0.18,0.18,0.18,,,2,2,0.71,-0.27,1.87,0.71,,upcoming,,half_ppr,depth_rank_filled=6 (-1.4); fp_roll=0 (-0.6); snap_pct_last=0.18 (-0.4)
