season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_CIN_PIT,2026-09-27,00-0041398,Riley Nowakowski,RB,PIT,CIN,1,-3.5,42.5,19.5,,False,0.03,0.075,0.075,,,0,0,0.73,-0.02,1.35,0.73,,upcoming,,ppr,fp_season_avg=0 (-0.7); fp_roll=0 (-0.7); depth_rank_filled=9 (-0.5)
2026,3,2026_03_ARI_SF,2026-09-27,00-0041070,Reggie Virgil,WR,ARI,SF,0,8.5,47.5,19.5,7.0,False,0.0,0.0,0.0,,,2,2,0.73,-0.01,1.36,0.73,,upcoming,,ppr,depth_rank_filled=7 (-2.5); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0031484,Chris Manhertz,TE,NYG,TEN,1,2.5,38.5,20.5,,False,0.31,0.3233333333333333,0.32999999999999996,,,166,2,0.73,-0.01,1.36,0.73,,upcoming,,ppr,fp_season_avg=0 (-0.9); fp_roll=0 (-0.9); depth_rank_filled=9 (-0.2)
2026,3,2026_03_MIN_TB,2026-09-27,00-0039589,Kameron Johnson,WR,TB,MIN,1,-1.5,42.5,20.5,6.0,False,0.0,0.03,0.045,,,27,2,0.7,-0.04,1.33,0.7,,upcoming,,ppr,depth_rank_filled=6 (-0.8); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.7)
2026,3,2026_03_ARI_SF,2026-09-27,00-0040172,Jordan Watkins,WR,SF,ARI,1,8.5,47.5,28.0,5.0,False,0.12,0.09666666666666666,0.0,,,19,2,0.69,-0.05,1.32,0.69,,upcoming,,ppr,depth_rank_filled=5 (-1.9); fp_season_avg=0 (-0.8); snap_pct_last=0.12 (-0.5)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0034270,Tyler Conklin,TE,DET,NYJ,1,6.5,47.5,27.0,3.0,False,0.06,0.17,0.095,,,135,2,0.69,-0.06,1.31,0.69,,upcoming,,ppr,fp_season_avg=0 (-0.6); fp_roll=0.533 (-0.5); snap_pct_last=0.06 (-0.4)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0040534,Ke'Shawn Williams,WR,CIN,PIT,0,-3.5,42.5,23.0,5.0,False,0.03,0.06666666666666667,0.0,,,14,2,0.69,-0.06,1.31,0.69,,upcoming,,ppr,depth_rank_filled=5 (-1.7); snap_pct_last=0.03 (-0.8); fp_season_avg=0 (-0.7)
2026,3,2026_03_ATL_GB,2026-09-24,00-0028118,Tyrod Taylor,QB,GB,ATL,1,4.5,43.5,24.0,2.0,True,0.1,0.7000000000000001,0.0,,,157,2,0.68,-0.06,1.31,0.68,,played,0.0,ppr,position_code=0 (-1.1); fp_season_avg=0 (-0.7); fp_roll=0 (-0.7)
2026,3,2026_03_LA_DEN,2026-09-27,00-0035264,Jarrett Stidham,QB,DEN,LA,1,-2.5,44.5,21.0,2.0,False,0.06,0.06,0.0,,,110,2,0.67,-0.08,1.29,0.67,,upcoming,,ppr,position_code=0 (-1.1); fp_season_avg=0 (-0.7); fp_roll=0 (-0.7)
2026,3,2026_03_KC_MIA,2026-09-27,00-0036945,Justin Fields,QB,KC,MIA,0,-10.5,45.5,28.0,2.0,True,0.01,0.6699999999999999,0.01,,,84,2,0.66,-0.08,1.29,0.66,,upcoming,,ppr,fp_season_avg=0 (-0.7); fp_roll=0 (-0.6); position_code=0 (-0.6)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0039021,Roschon Johnson,RB,CHI,PHI,1,-4.5,41.5,18.5,3.0,False,0.01,0.0033333333333333335,0.005,,,46,2,0.65,-0.1,1.27,0.65,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.6); snap_pct_last=0.01 (-0.4)
2026,3,2026_03_HOU_IND,2026-09-27,00-0039164,Anthony Richardson,QB,IND,HOU,1,-1.5,42.5,20.5,2.0,False,0.11,0.11499999999999999,0.0,,,30,2,0.64,-0.11,1.26,0.64,,upcoming,,ppr,position_code=0 (-1.1); fp_season_avg=0 (-0.7); fp_roll=0 (-0.7)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0038896,Jacob Saylors,RB,DET,NYJ,1,6.5,47.5,27.0,3.0,False,0.0,0.0,0.0,,,19,2,0.64,-0.1,1.27,0.64,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.6); snap_pct_last=0 (-0.5)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0040208,Tahj Brooks,RB,CIN,PIT,0,-3.5,42.5,23.0,3.0,False,0.02,0.016666666666666666,0.025,,,19,2,0.64,-0.1,1.27,0.64,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.5); snap_pct_last=0.02 (-0.4)
2026,3,2026_03_TEN_NYG,2026-09-27,00-0037594,Julius Chestnut,RB,TEN,NYG,0,2.5,38.5,18.0,4.0,False,0.0,0.0,0.0,,,48,2,0.64,-0.1,1.27,0.64,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=4 (-0.6); snap_pct_last=0 (-0.4)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0040930,Camden Brown,WR,DAL,BAL,1,-3.5,53.5,25.0,6.0,False,0.0,0.0,0.0,,,2,2,0.62,-0.12,1.25,0.62,,upcoming,,ppr,depth_rank_filled=6 (-2.2); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0040876,Elijah Sarratt,WR,BAL,DAL,0,-3.5,53.5,28.5,5.0,False,0.0,0.0,0.0,,,2,2,0.62,-0.12,1.25,0.62,,upcoming,,ppr,depth_rank_filled=5 (-2.1); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0041397,Kaden Wetjen,WR,PIT,CIN,1,-3.5,42.5,19.5,6.0,False,0.0,0.0,0.0,,,2,2,0.62,-0.12,1.25,0.62,,upcoming,,ppr,depth_rank_filled=6 (-0.9); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_LA_DEN,2026-09-27,00-0041399,CJ Daniels,WR,LA,DEN,0,-2.5,44.5,23.5,7.0,False,0.0,0.0,0.0,,,2,2,0.61,-0.14,1.23,0.61,,upcoming,,ppr,depth_rank_filled=7 (-2.4); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_MIN_TB,2026-09-27,00-0038951,Sean Tucker,RB,TB,MIN,1,-1.5,42.5,20.5,3.0,False,0.0,0.043333333333333314,0.0,,,53,2,0.61,-0.13,1.24,0.61,,upcoming,,ppr,fp_season_avg=0 (-0.9); depth_rank_filled=3 (-0.5); snap_pct_last=0 (-0.5)
2026,3,2026_03_LV_NO,2026-09-27,00-0039376,Spencer Rattler,QB,NO,LV,1,3.0,43.5,23.25,2.0,True,0.01,0.49,0.0,,,36,2,0.61,-0.13,1.24,0.61,,upcoming,,ppr,position_code=0 (-1.1); fp_season_avg=0 (-0.7); fp_roll=0 (-0.6)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0028986,Case Keenum,QB,CHI,PHI,1,-4.5,41.5,18.5,3.0,False,0.0,0.0,0.0,,,148,2,0.61,-0.13,1.24,0.61,,upcoming,,ppr,fp_season_avg=0 (-0.7); depth_rank_filled=3 (-0.5); fp_roll=0 (-0.3)
2026,3,2026_03_HOU_IND,2026-09-27,00-0036556,Brevin Jordan,TE,HOU,IND,0,-1.5,42.5,22.0,5.0,False,0.0,0.0,0.0,,,55,2,0.6,-0.15,1.22,0.6,,upcoming,,ppr,depth_rank_filled=5 (-1.0); fp_season_avg=0 (-0.6); snap_pct_last=0 (-0.3)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0040621,Montorie Foster Jr,WR,SEA,WAS,0,-7.5,40.5,24.0,5.0,False,0.0,0.0,0.0,,,2,2,0.6,-0.14,1.23,0.6,,upcoming,,ppr,depth_rank_filled=5 (-1.0); fp_season_avg=0 (-0.7); snap_pct_last=0 (-0.6)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0040887,Josh Cuevas,TE,BAL,DAL,0,-3.5,53.5,28.5,4.0,False,0.09,0.09,0.09,,,2,2,0.6,-0.14,1.23,0.6,,upcoming,,ppr,fp_season_avg=0 (-0.8); fp_roll=0 (-0.6); depth_rank_filled=4 (-0.3)
